agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
akron-metro-regional-transit-authority-metro,Akron Metro Regional Transit Authority (METRO),F,33.4,2026-07-10,stale,-1273,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
akron-metro-regional-transit-authority-metro-2071,Akron Metro Regional Transit Authority (METRO),B,80.9,2026-07-10,current,43,yes,Service data expires in 43 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
athens-public-transit,Athens Public Transit,F,50.3,2026-07-10,stale,-3113,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
athens-public-transit-1973,Athens Public Transit,F,43.3,2026-07-10,stale,-922,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
butler-county-regional-transit-authority,Butler County Regional Transit Authority,F,36.8,2026-07-10,stale,-1882,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
central-ohio-transit-authority-cota,Central Ohio Transit Authority (COTA),D,65.7,2026-07-10,current,58,yes,Service data expires in 58 day(s),"Check with your AVL vendor that every vehicle assignment flows into TripUpdates, including school-day and tripper runs.",ready
cincinnati-metro,Cincinnati Metro,C,76.2,2026-07-10,current,36,yes,Service data expires in 36 day(s),Review the rule documentation for 'equal_shape_distance_same_coordinates' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
national-park-service,Cuyahoga Valley Scenic Railroad,D,60.7,2026-07-10,stale,-2812,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
greater-cleveland-regional-transit-authority,Greater Cleveland Regional Transit Authority,F,20.6,2026-07-10,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
greater-dayton-regional-transit-authority-greater-dayton-rta,Greater Dayton Regional Transit Authority (Greater Dayton RTA),C,76.0,2026-07-10,current,57,yes,Service data expires in 57 day(s),"Use mixed case for stop names and headsigns (e.g. 'Main St & 2nd Ave', not 'MAIN ST & 2ND AVE').",
portage-area-regional-transportation-authority-parta,Portage Area Regional Transportation Authority (PARTA),F,36.8,2026-07-10,stale,-2372,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
portage-area-regional-transportation-authority-parta-2256,Portage Area Regional Transportation Authority (PARTA),F,57.6,2026-07-10,expiring_soon,30,yes,Service data expires in 30 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
stark-area-regional-transit-authority-sarta,Stark Area Regional Transit Authority (SARTA),F,29.2,2026-07-10,stale,-972,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
stark-area-regional-transit-authority-sarta-2001,Stark Area Regional Transit Authority (SARTA),F,50.9,2026-07-10,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.,
steel-valley-regional-transit-authority,Steel Valley Regional Transit Authority,F,45.9,2026-07-10,lapsed,-191,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
western-reserve-transit-authority,Western Reserve Transit Authority,F,16.9,2026-07-10,stale,-2043,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",at_risk
allen-county-regional-transit-authority,Allen County Regional Transit Authority,C,79.0,2026-07-10,current,144,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
froggy-transportation,Froggy Transportation,B,82.4,2026-07-10,current,174,no,,Populate trip_headsign to match what the bus displays.,
laketran,Laketran,C,77.0,2026-07-10,current,79,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
